destination,country,continent,city,place_name,place_variant,avg cost (usd/day),avg_temp_year,hiking_score,beach_score,nightlife_score,culture_score,food_score,adventure_score,nature_score,safety_score,accommodation_type,terrain_type,travel_style
India,India,Asia,Goa,Budget Beach Huts,day-trip zone,97.44,30.4,3.0,8.0,5.0,6.0,7.0,6.0,6.0,6.0,Guesthouse/Hostel,Coastal,Budget
Egypt,Egypt,Africa,Luxor,Valley of the Kings,nearby district,132.34,24.4,4.0,4.0,7.0,9.0,8.0,4.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
Vietnam,Vietnam,Asia,Hue,Imperial City,nearby district,138.41,25.1,4.0,4.0,6.0,8.0,10.0,4.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
Germany,Germany,Europe,Black Forest,Family Trails,day-trip zone,144.47,10.1,6.0,8.0,4.0,6.0,8.0,5.0,8.0,10.0,Standard Hotel,Mountain-Nature,Family
Germany,Germany,Europe,Rugen,Baltic Beaches,day-trip zone,125.39,17.7,4.0,9.0,5.0,6.0,8.0,5.0,9.0,8.0,Resort/Apartment,Coastal,Relaxation
Egypt,Egypt,Africa,Dahab,Budget Diving Hostels,main area,69.86,23.0,6.0,5.0,5.0,7.0,7.0,7.0,5.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Kenya,Kenya,Africa,Watamu,Quiet Beaches,nearby district,145.35,,5.0,9.0,5.0,6.0,8.0,4.0,6.0,7.0,Resort/Apartment,Coastal,Relaxation
Mexico,Mexico,North America,Riviera Maya,All Inclusive Hotels,nearby district,254.4,20.2,5.0,7.0,8.0,5.0,9.0,4.0,6.0,7.0,Resort/Apartment,Coastal,Luxury
South Africa,South Africa,Africa,Johannesburg,Apartheid Museum,nearby district,172.8,15.4,5.0,4.0,6.0,8.0,8.0,4.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
Vietnam,Vietnam,Asia,Da Nang,Beach Coast,main area,162.06,28.7,4.0,10.0,,6.0,6.0,6.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
Thailand,Thailand,Asia,Phuket,Beach Resorts,main area,131.14,32.1,4.0,9.0,6.0,5.0,6.0,5.0,8.0,7.0,Resort/Apartment,Coastal,Relaxation
Vietnam,Vietnam,Asia,Da Nang,Family Beaches,main area,150.23,33.0,4.0,8.0,2.0,7.0,6.0,6.0,7.0,7.0,Standard Hotel,Coastal,Family
Vietnam,Vietnam,Asia,Hoi An,Slow Riverside Stay,day-trip zone,156.41,27.4,6.0,9.0,5.0,5.0,7.0,5.0,9.0,7.0,Resort/Apartment,Coastal,Relaxation
New Zealand,New Zealand,Oceania,Queenstown,Lake Activities,day-trip zone,159.46,10.2,6.0,5.0,3.0,7.0,6.0,5.0,8.0,9.0,Standard Hotel,Urban-Heritage,Family
Germany,Germany,Europe,Berlin,High-end Culture Stay,local experience,211.4,9.6,4.0,8.0,7.0,8.0,8.0,4.0,5.0,9.0,Resort/Apartment,Coastal,Luxury
South Africa,South Africa,Africa,Cape Town,Aquarium and Cableway,main area,165.25,17.6,5.0,6.0,4.0,5.0,7.0,5.0,6.0,7.0,Standard Hotel,Urban-Heritage,Family
Germany,Germany,Europe,Rugen,Baltic Beaches,day-trip zone,135.85,8.6,5.0,9.0,5.0,5.0,7.0,3.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Egypt,Egypt,Africa,Dahab,Slow Coastal Stay,day-trip zone,128.76,21.9,5.0,8.0,5.0,5.0,8.0,5.0,6.0,7.0,Resort/Apartment,Coastal,Relaxation
Brazil,Brazil,South America,Rio de Janeiro,Copacabana Luxury Hotels,main area,192.8,27.0,4.0,7.0,8.0,6.0,10.0,6.0,7.0,6.0,Resort/Apartment,Coastal,Luxury
Greece,Greece,Europe,Crete,Samaria Gorge,main area,187.82,19.3,8.0,5.0,4.0,5.0,,8.0,9.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Japan,Japan,Asia,Niseko,Ski Resorts,local experience,218.41,18.2,3.0,8.0,7.0,6.0,9.0,4.0,6.0,9.0,Resort/Apartment,Coastal,Luxury
Greece,Greece,Europe,Crete,Five Star Coast,day-trip zone,318.53,15.5,5.0,8.0,7.0,6.0,10.0,4.0,7.0,8.0,Resort/Apartment,Coastal,Luxury
India,India,Asia,Kerala,Western Ghats Trails,local experience,130.94,26.0,10.0,5.0,5.0,5.0,7.0,8.0,9.0,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
South Africa,South Africa,Africa,Durban,Budget Beachfront,day-trip zone,103.23,17.4,5.0,8.0,5.0,6.0,7.0,4.0,6.0,5.0,Guesthouse/Hostel,Coastal,Budget
Japan,Japan,Asia,Kyoto,Ryokan Stays,nearby district,206.27,11.6,4.0,6.0,7.0,8.0,9.0,5.0,8.0,10.0,Resort/Apartment,Coastal,Luxury
Kenya,Kenya,Africa,Lamu,Slow Island Stay,local experience,129.18,21.2,5.0,8.0,5.0,6.0,6.0,5.0,8.0,6.0,Resort/Apartment,Coastal,Relaxation
Mexico,Mexico,North America,Puerto Vallarta,Pacific Beaches,day-trip zone,155.04,26.4,4.0,9.0,4.0,5.0,7.0,6.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
Australia,Australia,Oceania,Northern Territory,Uluru Desert Routes,local experience,155.95,22.2,9.0,5.0,4.0,6.0,7.0,9.0,8.0,9.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Kenya,Kenya,Africa,Nairobi,Museums and Markets,main area,153.47,25.0,4.0,4.0,6.0,8.0,8.0,4.0,5.0,7.0,Standard Hotel,Urban-Heritage,Culture
Brazil,Brazil,South America,Amazonas,Amazon Jungle Lodges,day-trip zone,111.39,25.2,6.0,4.0,5.0,7.0,7.0,8.0,9.0,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Morocco,Morocco,Africa,Essaouira,Walkable Medina,local experience,157.37,24.1,5.0,7.0,2.0,8.0,5.0,4.0,6.0,10.0,Standard Hotel,Urban-Heritage,Family
Argentina,Argentina,South America,El Chalten,Fitz Roy Trails,main area,126.57,18.1,8.0,4.0,3.0,6.0,7.0,8.0,8.0,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
USA,USA,North America,San Antonio,Affordable Heritage,local experience,102.99,13.6,5.0,5.0,6.0,8.0,7.0,6.0,5.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Australia,Australia,Oceania,Melbourne,Hostel Laneways,main area,110.22,18.9,6.0,3.0,5.0,7.0,6.0,6.0,7.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Peru,Peru,South America,Cusco,Boutique Heritage Hotels,day-trip zone,196.59,17.6,4.0,7.0,7.0,8.0,10.0,4.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
Japan,Japan,Asia,Okinawa,Island Beaches,main area,126.44,16.9,4.0,9.0,6.0,6.0,7.0,4.0,7.0,9.0,Resort/Apartment,Coastal,Relaxation
Italy,Italy,Europe,Lake Garda,Family Parks,local experience,203.6,15.1,6.0,6.0,,6.0,7.0,6.0,8.0,9.0,Standard Hotel,Mountain-Nature,Family
Japan,Japan,Asia,Okinawa,Island Beaches,main area,109.68,15.9,,8.0,5.0,4.0,8.0,,9.0,9.0,Resort/Apartment,Coastal,Relaxation
Japan,Japan,Asia,Kyoto,Ryokan Stays,nearby district,216.54,17.4,4.0,5.0,7.0,6.0,8.0,4.0,6.0,9.0,Resort/Apartment,Coastal,Luxury
New Zealand,New Zealand,Oceania,Rotorua,Maori Culture,nearby district,140.99,9.9,5.0,1.0,5.0,9.0,8.0,5.0,6.0,8.0,Standard Hotel,Urban-Heritage,Culture
Brazil,Brazil,South America,Sao Paulo,Fine Dining Hotels,day-trip zone,201.57,24.9,3.0,7.0,,8.0,7.0,5.0,6.0,,Resort/Apartment,Coastal,Luxury
Mexico,Mexico,North America,Oaxaca,Food and Markets,nearby district,144.09,18.5,3.0,5.0,6.0,9.0,8.0,4.0,6.0,6.0,Standard Hotel,Urban-Heritage,Culture
Brazil,Brazil,South America,Ouro Preto,Colonial Heritage,day-trip zone,98.25,26.8,3.0,3.0,6.0,9.0,7.0,5.0,4.0,7.0,Standard Hotel,Urban-Heritage,Culture
USA,USA,North America,Aspen,Mountain Luxury,day-trip zone,271.82,12.7,6.0,7.0,6.0,7.0,7.0,5.0,8.0,7.0,Resort/Apartment,Mountain-Nature,Luxury
Morocco,Morocco,Africa,Marrakech,Budget Medina Hostels,nearby district,72.12,24.8,5.0,5.0,7.0,8.0,7.0,5.0,6.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Italy,Italy,Europe,Cinque Terre,Coastal Trails,day-trip zone,164.19,18.4,8.0,8.0,3.0,5.0,6.0,9.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
New Zealand,New Zealand,Oceania,Rotorua,Premium Spa Lodges,local experience,253.91,11.9,5.0,8.0,7.0,5.0,9.0,6.0,5.0,9.0,Resort/Apartment,Coastal,Luxury
Brazil,Brazil,South America,Ouro Preto,Colonial Heritage,day-trip zone,97.67,24.9,4.0,4.0,7.0,9.0,8.0,5.0,4.0,5.0,Standard Hotel,Urban-Heritage,Culture
Argentina,Argentina,South America,Mendoza,Aconcagua Foothills,day-trip zone,126.02,14.8,8.0,4.0,3.0,5.0,7.0,8.0,8.0,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
New Zealand,New Zealand,Oceania,Tongariro,Alpine Crossing,local experience,123.41,13.5,10.0,3.0,3.0,5.0,6.0,9.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Greece,Greece,Europe,Crete,Five Star Coast,day-trip zone,325.13,21.8,,8.0,7.0,8.0,9.0,6.0,5.0,8.0,Resort/Apartment,Coastal,Luxury
Italy,Italy,Europe,Lake Como,Luxury Villas,main area,309.5,14.9,5.0,8.0,7.0,7.0,9.0,5.0,6.0,9.0,Resort/Apartment,Coastal,Luxury
Kenya,Kenya,Africa,Lamu,Slow Island Stay,local experience,147.31,22.1,3.0,9.0,6.0,4.0,8.0,5.0,8.0,7.0,Resort/Apartment,Coastal,Relaxation
USA,USA,North America,New York City,Luxury Hotels,main area,253.37,11.8,5.0,6.0,,8.0,9.0,5.0,7.0,7.0,Resort/Apartment,Coastal,Luxury
India,India,Asia,Kerala,Luxury Backwater Resorts,local experience,227.75,19.2,5.0,8.0,7.0,6.0,8.0,4.0,6.0,6.0,Resort/Apartment,Coastal,Luxury
Argentina,Argentina,South America,Mendoza,Budget Wine Hostels,nearby district,74.08,18.8,6.0,4.0,6.0,6.0,8.0,4.0,5.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Morocco,Morocco,Africa,Marrakech,Luxury Riads,main area,244.34,22.6,5.0,7.0,6.0,7.0,7.0,4.0,7.0,8.0,Resort/Apartment,Coastal,Luxury
India,India,Asia,Jaipur,Heritage Palaces,nearby district,231.86,26.0,3.0,,9.0,8.0,8.0,6.0,6.0,6.0,Resort/Apartment,Coastal,Luxury
Australia,Australia,Oceania,Gold Coast,Beach Resorts,main area,162.66,21.6,5.0,9.0,6.0,8.0,7.0,5.0,8.0,7.0,Resort/Apartment,Coastal,Relaxation
Vietnam,Vietnam,Asia,Hanoi,Budget Street Food,main area,79.6,27.9,5.0,7.0,5.0,5.0,7.0,4.0,5.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Italy,Italy,Europe,Turin,Affordable Museums,local experience,,,6.0,5.0,5.0,8.0,7.0,5.0,6.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Kenya,Kenya,Africa,Mombasa,Affordable Coast,nearby district,84.86,22.3,5.0,8.0,6.0,8.0,7.0,5.0,9.0,6.0,Guesthouse/Hostel,Coastal,Budget
South Africa,South Africa,Africa,Cape Town,Aquarium and Cableway,main area,160.88,19.0,5.0,6.0,4.0,,6.0,5.0,7.0,6.0,Standard Hotel,Urban-Heritage,Family
Germany,Germany,Europe,Black Forest,Family Trails,day-trip zone,144.24,10.2,7.0,7.0,3.0,7.0,7.0,4.0,8.0,9.0,Standard Hotel,Mountain-Nature,Family
Argentina,Argentina,South America,Mendoza,Budget Wine Hostels,nearby district,81.09,14.9,5.0,5.0,,6.0,6.0,6.0,6.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
Vietnam,Vietnam,Asia,Ho Chi Minh City,War History and Markets,local experience,133.78,29.2,4.0,3.0,5.0,9.0,8.0,5.0,6.0,7.0,Standard Hotel,Urban-Heritage,Culture
Argentina,Argentina,South America,Bariloche,Lake Resorts,day-trip zone,233.62,16.4,3.0,7.0,7.0,8.0,8.0,3.0,6.0,7.0,Resort/Apartment,Coastal,Luxury
Morocco,Morocco,Africa,Atlas Mountains,Kasbah Retreats,day-trip zone,231.94,23.4,6.0,7.0,7.0,7.0,,5.0,8.0,8.0,Resort/Apartment,Mountain-Nature,Luxury
Brazil,Brazil,South America,Buzios,Beach Town,nearby district,103.59,21.8,6.0,8.0,5.0,5.0,7.0,4.0,7.0,6.0,Resort/Apartment,Coastal,Relaxation
Spain,Spain,Europe,Madrid,Hostel Neighborhoods,local experience,103.43,20.7,5.0,6.0,7.0,8.0,7.0,5.0,5.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
France,France,Europe,Bordeaux,Wine Country,local experience,131.47,13.0,5.0,9.0,4.0,5.0,5.0,5.0,8.0,8.0,Resort/Apartment,Coastal,Relaxation
Canada,Canada,North America,Halifax,Budget Harbor Stay,day-trip zone,98.45,4.3,7.0,6.0,6.0,7.0,6.0,4.0,6.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Italy,Italy,Europe,Venice,Canals and Palaces,day-trip zone,180.69,16.6,5.0,3.0,5.0,9.0,8.0,5.0,5.0,7.0,Standard Hotel,Urban-Heritage,Culture
Thailand,Thailand,Asia,Phuket,Family Beach Resorts,main area,136.93,29.2,4.0,8.0,2.0,7.0,6.0,5.0,6.0,7.0,Standard Hotel,Coastal,Family
Canada,Canada,North America,Whistler,Ski Resorts,local experience,270.23,2.8,4.0,10.0,8.0,6.0,9.0,5.0,5.0,10.0,Resort/Apartment,Coastal,Luxury
Thailand,Thailand,Asia,Phuket,Family Beach Resorts,main area,155.61,31.4,6.0,8.0,3.0,5.0,8.0,4.0,6.0,8.0,Standard Hotel,Coastal,Family
USA,USA,North America,New York City,Luxury Hotels,main area,258.35,13.4,3.0,8.0,7.0,8.0,10.0,5.0,6.0,7.0,Resort/Apartment,Coastal,Luxury
India,India,Asia,Rishikesh,Yoga Retreats,day-trip zone,148.14,28.8,6.0,8.0,5.0,5.0,8.0,5.0,8.0,7.0,Resort/Apartment,Mountain-Nature,Relaxation
New Zealand,New Zealand,Oceania,Dunedin,Heritage Quarter,local experience,143.84,14.1,4.0,4.0,7.0,10.0,8.0,3.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Canada,Canada,North America,Halifax,Budget Harbor Stay,day-trip zone,94.63,6.0,3.0,5.0,6.0,6.0,9.0,5.0,5.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
South Africa,South Africa,Africa,Kruger,Safari Drives,local experience,,21.4,7.0,4.0,3.0,5.0,6.0,,10.0,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Kenya,Kenya,Africa,Lamu,Slow Island Stay,local experience,151.66,23.6,6.0,9.0,5.0,6.0,,5.0,9.0,6.0,Resort/Apartment,Coastal,Relaxation
Germany,Germany,Europe,Leipzig,Affordable Arts Scene,main area,90.06,8.2,5.0,5.0,6.0,5.0,8.0,5.0,7.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
China,China,Asia,Hangzhou,West Lake,nearby district,190.7,13.9,3.0,8.0,5.0,5.0,7.0,5.0,6.0,7.0,Resort/Apartment,Coastal,Relaxation
Thailand,Thailand,Asia,Krabi,Rock Climbing,nearby district,125.27,27.0,8.0,3.0,4.0,6.0,5.0,8.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
China,China,Asia,Guilin,River Family Tours,local experience,222.62,10.6,5.0,6.0,3.0,6.0,8.0,5.0,8.0,8.0,Standard Hotel,Urban-Heritage,Family
India,India,Asia,Jaipur,Budget Heritage Hostels,main area,83.86,25.4,6.0,5.0,6.0,8.0,8.0,6.0,6.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
India,India,Asia,Jaipur,Heritage Palaces,nearby district,211.14,25.2,3.0,7.0,7.0,8.0,10.0,4.0,6.0,7.0,Resort/Apartment,Coastal,Luxury
India,India,Asia,Rishikesh,Yoga Retreats,day-trip zone,141.3,28.7,6.0,8.0,5.0,5.0,8.0,5.0,8.0,6.0,Resort/Apartment,Mountain-Nature,Relaxation
Mexico,Mexico,North America,Puerto Vallarta,High-end Coast,local experience,267.4,22.2,6.0,8.0,7.0,7.0,6.0,5.0,5.0,7.0,Resort/Apartment,Coastal,Luxury
Peru,Peru,South America,Arequipa,Colonial Center,day-trip zone,130.65,14.4,4.0,4.0,6.0,8.0,8.0,4.0,6.0,9.0,Standard Hotel,Urban-Heritage,Culture
Italy,Italy,Europe,Venice,Boat Rides,nearby district,201.36,14.0,5.0,6.0,3.0,5.0,7.0,,7.0,9.0,Standard Hotel,Urban-Heritage,Family
USA,USA,North America,Aspen,Mountain Luxury,day-trip zone,265.02,14.0,6.0,6.0,6.0,5.0,10.0,5.0,8.0,6.0,Resort/Apartment,Mountain-Nature,Luxury
Brazil,Brazil,South America,Bahia,Praia do Forte,local experience,109.1,27.4,4.0,9.0,6.0,6.0,7.0,4.0,8.0,6.0,Resort/Apartment,Coastal,Relaxation
New Zealand,New Zealand,Oceania,Rotorua,Maori Culture,nearby district,165.54,13.1,3.0,3.0,6.0,8.0,9.0,5.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Italy,Italy,Europe,Dolomites,Alpine Hikes,main area,180.47,16.9,9.0,5.0,4.0,4.0,7.0,8.0,8.0,9.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Morocco,Morocco,Africa,Marrakech,Luxury Riads,main area,244.64,24.5,6.0,7.0,9.0,7.0,8.0,4.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
France,France,Europe,Corsica,GR20 Sections,day-trip zone,,6.7,8.0,4.0,3.0,6.0,7.0,8.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
South Africa,South Africa,Africa,Durban,Indian Ocean Culture,local experience,139.36,18.7,3.0,8.0,5.0,8.0,8.0,4.0,5.0,6.0,Standard Hotel,Coastal,Culture
Peru,Peru,South America,Lima,Affordable Food Stay,nearby district,84.34,16.8,5.0,4.0,6.0,7.0,9.0,6.0,5.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
Argentina,Argentina,South America,Mendoza,Luxury Wine Estates,main area,231.57,13.9,4.0,9.0,7.0,7.0,8.0,6.0,4.0,7.0,Resort/Apartment,Coastal,Luxury
Thailand,Thailand,Asia,Pai,Mountain Roads,local experience,139.68,33.6,8.0,3.0,4.0,5.0,6.0,8.0,9.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
India,India,Asia,Rishikesh,Rafting and Yoga,nearby district,114.98,29.9,8.0,6.0,5.0,5.0,8.0,10.0,9.0,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
New Zealand,New Zealand,Oceania,Wellington,Budget City Hostels,main area,87.62,13.5,5.0,6.0,6.0,8.0,8.0,6.0,5.0,9.0,Guesthouse/Hostel,Urban-Heritage,Budget
Canada,Canada,North America,Vancouver Island,Quiet Coastal Stay,main area,164.47,9.2,5.0,9.0,5.0,6.0,8.0,5.0,8.0,9.0,Resort/Apartment,Coastal,Relaxation
Kenya,Kenya,Africa,Lamu,Slow Island Stay,local experience,150.67,25.6,4.0,8.0,5.0,4.0,7.0,6.0,7.0,6.0,Resort/Apartment,Coastal,Relaxation
Germany,Germany,Europe,Berchtesgaden,Alpine Lakes,local experience,108.44,13.3,8.0,5.0,3.0,7.0,7.0,9.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Greece,Greece,Europe,Santorini,Cliffside Hotels,main area,296.29,16.7,4.0,8.0,8.0,8.0,8.0,3.0,7.0,9.0,Resort/Apartment,Coastal,Luxury
Kenya,Kenya,Africa,Maasai Mara,Family Safari,nearby district,144.87,22.3,6.0,7.0,3.0,5.0,6.0,5.0,5.0,8.0,Standard Hotel,Urban-Heritage,Family
Egypt,Egypt,Africa,Sharm El Sheikh,Red Sea Resorts,main area,146.66,23.2,3.0,9.0,5.0,5.0,6.0,4.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
Italy,Italy,Europe,Venice,Canals and Palaces,day-trip zone,174.99,9.2,3.0,4.0,4.0,9.0,9.0,4.0,5.0,7.0,Standard Hotel,Urban-Heritage,Culture
Canada,Canada,North America,Muskoka,Lake Cottages,day-trip zone,158.83,6.0,4.0,7.0,5.0,5.0,7.0,5.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Greece,Greece,Europe,Rhodes,Old Town and Beaches,nearby district,213.24,20.4,6.0,8.0,3.0,8.0,8.0,5.0,7.0,8.0,Standard Hotel,Coastal,Family
China,China,Asia,Suzhou,Classical Gardens,day-trip zone,165.48,14.3,4.0,4.0,5.0,9.0,7.0,4.0,7.0,8.0,Standard Hotel,Urban-Heritage,Culture
Australia,Australia,Oceania,Gold Coast,Beach Resorts,main area,160.78,22.1,4.0,8.0,,8.0,7.0,4.0,6.0,,Resort/Apartment,Coastal,Relaxation
USA,USA,North America,San Diego,Zoo and Beaches,nearby district,162.84,13.6,4.0,8.0,4.0,7.0,6.0,5.0,6.0,8.0,Standard Hotel,Coastal,Family
China,China,Asia,Xi’an,Budget Heritage Stay,nearby district,125.75,8.9,,4.0,7.0,8.0,7.0,6.0,4.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Italy,Italy,Europe,Turin,Affordable Museums,local experience,107.9,16.6,4.0,4.0,7.0,8.0,7.0,5.0,6.0,9.0,Guesthouse/Hostel,Urban-Heritage,Budget
Germany,Germany,Europe,Hamburg,Budget Harbor Stay,day-trip zone,69.17,11.2,4.0,6.0,4.0,6.0,8.0,6.0,5.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Egypt,Egypt,Africa,Luxor,Valley of the Kings,nearby district,120.77,25.3,4.0,4.0,,8.0,7.0,2.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
Egypt,Egypt,Africa,Alexandria,Mediterranean Heritage,local experience,131.85,24.7,5.0,5.0,5.0,9.0,8.0,4.0,5.0,5.0,Standard Hotel,Urban-Heritage,Culture
Peru,Peru,South America,Cusco,Boutique Heritage Hotels,day-trip zone,217.34,19.1,3.0,7.0,8.0,8.0,8.0,4.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
Egypt,Egypt,Africa,Luxor,Valley of the Kings,nearby district,118.52,26.2,4.0,3.0,6.0,9.0,8.0,4.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
USA,USA,North America,New Orleans,Music and Food,day-trip zone,149.48,13.3,4.0,4.0,7.0,9.0,8.0,4.0,6.0,,Standard Hotel,Urban-Heritage,Culture
Thailand,Thailand,Asia,Chiang Mai,Budget Guesthouses,main area,77.11,29.9,4.0,5.0,6.0,7.0,5.0,7.0,6.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
Vietnam,Vietnam,Asia,Da Nang,Budget Beach Stay,day-trip zone,82.96,24.1,6.0,8.0,5.0,7.0,7.0,5.0,6.0,7.0,Guesthouse/Hostel,Coastal,Budget
Egypt,Egypt,Africa,Luxor,Nile Cruise,nearby district,228.46,23.0,5.0,8.0,7.0,8.0,7.0,4.0,,8.0,Resort/Apartment,Coastal,Luxury
China,China,Asia,Hangzhou,West Lake,nearby district,182.34,14.9,4.0,8.0,5.0,4.0,8.0,5.0,6.0,8.0,Resort/Apartment,Coastal,Relaxation
South Africa,South Africa,Africa,Kruger,Safari Drives,local experience,123.61,18.1,8.0,5.0,5.0,6.0,7.0,9.0,9.0,5.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Greece,Greece,Europe,Zagori,Vikos Gorge,day-trip zone,188.93,15.6,9.0,4.0,4.0,5.0,6.0,10.0,9.0,9.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Australia,Australia,Oceania,Noosa,Sunshine Coast Beaches,day-trip zone,149.44,21.4,6.0,8.0,5.0,6.0,9.0,4.0,7.0,9.0,Resort/Apartment,Coastal,Relaxation
Kenya,Kenya,Africa,Nairobi,Museums and Markets,main area,150.65,16.4,4.0,3.0,5.0,10.0,8.0,4.0,5.0,7.0,Standard Hotel,Urban-Heritage,Culture
China,China,Asia,Zhangjiajie,Avatar Mountains,main area,168.59,15.0,8.0,5.0,4.0,6.0,6.0,10.0,10.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Egypt,Egypt,Africa,Cairo,Pyramids Family Tours,main area,141.6,22.6,5.0,7.0,4.0,,7.0,5.0,6.0,7.0,Standard Hotel,Urban-Heritage,Family
Italy,Italy,Europe,Lake Como,Luxury Villas,main area,318.23,19.3,4.0,6.0,7.0,7.0,8.0,5.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
Canada,Canada,North America,Vancouver Island,Coastal Trails,local experience,174.24,5.6,8.0,8.0,5.0,7.0,6.0,8.0,8.0,9.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Argentina,Argentina,South America,Mendoza,Luxury Wine Estates,main area,235.97,15.7,3.0,8.0,7.0,7.0,8.0,5.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
Japan,Japan,Asia,Nagoya,Affordable Base,day-trip zone,71.3,11.2,5.0,6.0,5.0,7.0,7.0,5.0,7.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
China,China,Asia,Shanghai,Disney Resort,nearby district,207.9,14.2,5.0,7.0,4.0,6.0,6.0,6.0,7.0,7.0,Standard Hotel,Urban-Heritage,Family
Thailand,Thailand,Asia,Pai,Backpacker Town,day-trip zone,65.06,29.4,6.0,6.0,6.0,6.0,,7.0,4.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Japan,Japan,Asia,Niseko,Ski Resorts,local experience,204.74,15.5,4.0,7.0,7.0,7.0,9.0,4.0,7.0,9.0,Resort/Apartment,Coastal,Luxury
Peru,Peru,South America,Huaraz,Budget Trekking Base,local experience,95.85,21.7,6.0,6.0,7.0,5.0,6.0,7.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Budget
Argentina,Argentina,South America,Bariloche,Family Lake Trips,nearby district,122.96,9.1,5.0,8.0,5.0,6.0,7.0,4.0,6.0,7.0,Standard Hotel,Urban-Heritage,Family
China,China,Asia,Suzhou,Classical Gardens,day-trip zone,193.0,14.7,3.0,3.0,5.0,10.0,8.0,3.0,5.0,7.0,Standard Hotel,Urban-Heritage,Culture
Peru,Peru,South America,Cusco,Family Heritage Tours,nearby district,131.14,19.3,5.0,6.0,3.0,8.0,,5.0,7.0,8.0,Standard Hotel,Urban-Heritage,Family
Thailand,Thailand,Asia,Sukhothai,Historical Park,local experience,128.08,25.5,6.0,2.0,5.0,8.0,9.0,4.0,8.0,9.0,Standard Hotel,Urban-Heritage,Culture
Germany,Germany,Europe,Munich,Parks and Museums,main area,135.41,9.9,6.0,7.0,2.0,8.0,7.0,6.0,8.0,9.0,Standard Hotel,Urban-Heritage,Family
Kenya,Kenya,Africa,Maasai Mara,Safari Drives,main area,129.15,20.4,8.0,5.0,4.0,6.0,7.0,9.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Egypt,Egypt,Africa,Dahab,Budget Diving Hostels,main area,66.27,24.4,6.0,4.0,6.0,8.0,7.0,7.0,6.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
